main_strategy	date	id	management_fee	incentive_fee	high_watermark	firm_id	strategy_code	performance	nav	assets	mktrf	smb	hml	rf
2	20041130	13579	1.095	7.1	0.9	4200.6	5	2.36862	7822.236667	285.21	4.54	3.9	1.81	0.15
2	20041231	14294	1.018181818	6.454545455	0.909090909	4135.454545	5	1.542590909	6027.485	293.9416667	3.43	0.16	-0.04	0.16
2	20050131	14294	1.018181818	6.454545455	0.909090909	4135.454545	5	0.253045455	6006.6625	305.82	-2.76	-1.53	1.95	0.16
2	20050228	14294	1.018181818	6.454545455	0.909090909	4135.454545	5	1.342872727	6073.59	314.6916667	1.89	-0.49	1.65	0.16
2	20050331	14294	1.018181818	6.454545455	0.909090909	4135.454545	5	-0.219227273	6069.5625	320.69	-1.97	-1.42	1.54	0.21
2	20050430	14294	1.018181818	6.454545455	0.909090909	4135.454545	5	-1.229554545	5722.2425	322.4033333	-2.61	-4	-0.35	0.21
2	20050531	14294	1.018181818	6.454545455	0.909090909	4135.454545	5	-0.008190909	5782.3675	328.2883333	3.65	2.87	-0.81	0.24
2	20050630	14294	1.018181818	6.454545455	0.909090909	4135.454545	5	1.415145455	5931.5825	339.8516667	0.57	2.59	2.69	0.23
2	20050731	14374	1.058333333	6.75	0.916666667	4245	5	1.867341667	6090.585	305.2228571	3.92	2.89	-0.54	0.24
2	20050831	14374	1.058333333	6.75	0.916666667	4245	5	0.796016667	6114.5675	310.64	-1.22	-0.93	1.27	0.3
2	20050930	14374	1.058333333	6.75	0.916666667	4245	5	1.702283333	6203.5125	319.4785714	0.49	-0.58	0.76	0.29
2	20051031	14879	1.15	7	0.923076923	4362.153846	5	-1.225976923	6023.2375	281.26875	-2.02	-1.21	0.25	0.27
2	20051130	14879	1.15	7	0.923076923	4362.153846	5	1.353938462	6087.67	289.46375	3.61	0.89	-1.19	0.31
2	20051231	14879	1.15	7	0.923076923	4362.153846	5	2.007530769	6223.3775	302.12	-0.25	-0.49	0.4	0.32
