id	main_strategy	management_fee	incentive_fee	high_watermark	firm_id	strategy_code	date	performance	nav	assets	mktrf	smb	hml	rf
3632	1	1	20	1	1538	2	20061231	2.996		41.3	0.87	-1.1	3.16	0.4
3632	1	1	20	1	1538	2	20070131	7.9186		37.3	1.4	0.1	-0.13	0.44
3632	1	1	20	1	1538	2	20070228	-8.6553		37.45	-1.96	1.32	-0.1	0.38
3632	1	1	20	1	1538	2	20070331	-0.59		57.4	0.68	-0.06	-0.23	0.43
3632	1	1	20	1	1538	2	20070430	4.91		37.6	3.49	-2.07	-1.15	0.44
3632	1	1	20	1	1538	2	20070531	3.92		39.4	3.24	-0.01	-0.07	0.41
3632	1	1	20	1	1538	2	20070630	3.96		30.3	-1.96	0.79	-1.11	0.4
3632	1	1	20	1	1538	2	20070731	4.98		32.2	-3.73	-2.5	-3.34	0.4
3632	1	1	20	1	1538	2	20070831	-3.57		41.3	0.92	-0.1	-2.25	0.42
3632	1	1	20	1	1538	2	20070930	5.94		44.3	3.22	-2.28	-1.91	0.32
3632	1	1	20	1	1538	2	20071031	4.68		46.2	1.8	0.22	-2.62	0.32
3632	1	1	20	1	1538	2	20071130	-4.16		44.2	-4.83	-2.61	-1.18	0.34
3632	1	1	20	1	1538	2	20071231	2.08		45.7	-0.87	0.19	-0.44	0.27
3632	1	1	20	1	1538	2	20080131	-2.49		53.8	-6.36	-0.87	3.69	0.21
3632	1	1	20	1	1538	2	20080229	1.52		54.8	-3.09	-0.21	-0.88	0.13
3632	1	1	20	1	1538	2	20080331	-4.32		52	-0.93	0.91	-0.18	0.17
3632	1	1	20	1	1538	2	20080430	0.45		50.7	4.6	-1.65	-0.99	0.18
3632	1	1	20	1	1538	2	20080531	0.41		50.7	1.86	3.15	-1.49	0.18
3632	1	1	20	1	1538	2	20080630	-3.4		49.1	-8.44	1.32	-2.47	0.17
3632	1	1	20	1	1538	2	20080731	-2.72		49.1	-0.77	2.44	5.89	0.15
3632	1	1	20	1	1538	2	20080831	-0.87		49.1	1.53	3.61	1.57	0.13
3632	1	1	20	1	1538	2	20080930	-1.22		49.1	-9.24	-1.11	6.26	0.15
3632	1	1	20	1	1538	2	20081031	-1.74		42.5	-17.23	-2.25	-2.75	0.08
3632	1	1	20	1	1538	2	20081130	2.68		42.5	-7.86	-3.01	-5.85	0.03
3632	1	1	20	1	1538	2	20081231	3.23		45	1.74	3.62	-0.21	0
3632	1	1	20	1	1538	2	20090131	-2.55		45	-8.12	0.1	-11.25	0
3632	1	1	20	1	1538	2	20090228	-2.09		34.5	-10.1	0.15	-7.27	0.01
3632	1	1	20	1	1538	2	20090331	3.09		35.6	8.95	-0.1	3.62	0.02
3632	1	1	20	1	1538	2	20090430	4.35		37.5	10.19	4.74	5.44	0.01
